P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
1,99.048,125000,86.4504,125000,74.88,2500,2374456,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
2,98.0864,125000,73.2352,125000,46.88,2500,2468720,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
3,97.2928,125000,61.86,125000,23.56,2500,5303091,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
4,96.5344,125000,52.5824,125000,0,2500,6371889,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
5,96.5672,125000,77.8512,125000,0,2500,3372268,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
6,95.6928,125000,50.224,125000,0,2500,5883469,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
7,95.4184,125000,63.332,125000,0,2500,5305303,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
8,94.8224,125000,59.64,125000,0,2500,3741047,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
9,94.2576,125000,48.3896,125000,0,2500,7194686,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
10,94.4096,125000,92.9312,125000,0,2500,1598808,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
11,93.368,125000,49.684,125000,0,2500,7127162,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
12,92.736,125000,44.9936,125000,0,2500,5037643,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
13,92.3696,125000,46.2328,125000,0,2500,7710396,
P,A_Hit Rate,A_Total Instruction,B_Hit Rate,B_Total Instruction,C_Hit Rate,C_Total Instruction,Time,
14,92.0512,125000,55.5056,125000,0,2500,4261527,
